problem_id,category_id,level,solved,name,topics
1001,1,1,127331,"Extremely Basic","sequential"
1002,1,1,87459,"Area of a Circle","sequential"
1003,1,1,89856,"Simple Sum","sequential"
1004,1,1,85938,"Simple Product","sequential"
1005,1,1,73427,"Average 1","sequential"
1006,1,1,69413,"Average 2","sequential"
1007,1,1,73876,"Difference","sequential"
1008,1,1,68280,"Salary","sequential"
1009,1,1,59767,"Salary with Bonus","sequential"
1010,1,1,58598,"Simple Calculate","sequential"
1011,1,1,52925,"Sphere","sequential"
1012,1,1,52239,"Area","sequential"
1013,1,1,50428,"The Greatest","sequential"
1014,1,1,51919,"Consumption","sequential"
1015,1,1,51451,"Distance Between Two Points","sequential"
1016,1,1,46277,"Distance","sequential"
1017,1,1,48053,"Fuel Spent","sequential"
1018,1,1,43669,"Banknotes","sequential"
1019,1,1,45059,"Time Conversion","sequential"
1020,1,1,45424,"Age in Days","sequential"
1021,1,1,27165,"Banknotes and Coins","sequential"
1022,4,2,4116,"TDA Rational","rational numbers"
1023,4,3,2431,"Drought","sort, counting sort, ad hoc"
1024,3,2,8336,"Encryption","string manipulation"
1025,4,2,4253,"Where is the Marble?","binary search, sort"
1026,2,2,7069,"To Carry or not to Carry","xor"
1027,6,7,323,"Critical Wave","dp (lis)"
1028,5,2,6681,"Collectable Cards","gcd, recursivity"
1029,6,2,6015,"Fibonacci, How Many Calls?","recursion"
1030,2,3,4367,"Flavious Josephus Legend","ad hoc, simulation, josephus problem, recursion"
1031,2,4,1766,"Power Crisis","ad hoc, simulation, josephus problem."
1032,2,4,1352,"Joseph’s Cousin","ad hoc, simulation, josephus problem, number theory, primes, sieve."
1033,6,4,404,"How Many Calls?","recurrence relations, fibonacci numbers"
1034,6,5,2096,"Ice Statues Festival","dp, greedy"
1035,1,1,42188,"Selection Test 1","selection"
1036,1,1,36117,"Bhaskara's Formula","selection"
1037,1,1,35301,"Interval","selection"
1038,1,1,42113,"Snack","selection"
1039,8,2,3120,"Fire Flowers","geometry"
1040,1,1,27630,"Average 3","selection"
1041,1,1,34451,"Coordinates of a Point","selection"
1042,1,1,32703,"Simple Sort","selection"
1043,1,1,28959,"Triangle","selection"
1044,1,1,34377,"Multiples","selection"
1045,1,1,21264,"Triangle Types","selection"
1046,1,1,26994,"Game Time","selection"
1047,1,1,19977,"Game Time with Minutes","selection"
1048,1,1,25868,"Salary Increase","selection"
1049,1,1,20390,"Animal","selection"
1050,1,1,30561,"DDD","selection"
1051,1,1,20056,"Taxes","selection"
1052,1,1,27649,"Month","selection"
1053,7,7,18,"Continuous Drawing"," euler trail, dfs, floyd-warshall"
1054,6,5,359,"Dynamic Frog","greedy, sort"
1055,6,4,404,"Elegant Permuted Sum","greedy, sort, simple math"
1056,7,4,317,"Factors and Multiples","graph, max bipartite matching"
1057,7,7,201,"Going Together","bfs"
1058,6,7,73,"Independent Attacking Zones","dp"
1059,1,1,33708,"Even Numbers","repetition"
1060,1,1,28940,"Positive Numbers","repetition"
1061,1,1,12193,"Event Time","selection"
1062,4,3,2282,"Rails","stack"
1063,4,4,1354,"Rails Again... Tracing Movements","stack"
1064,1,1,26021,"Positives and Average","repetition"
1065,1,1,24857,"Even Between five Numbers","repetition"
1066,1,1,25574,"Even, Odd, Positive and Negative","repetition"
1067,1,1,26908,"Odd Numbers","repetition"
1068,4,2,5643,"Parenthesis Balance I","stack"
1069,4,2,5637,"Diamonds and Sand","stack"
1070,1,1,24746,"Six Odd Numbers","repetition"
1071,1,1,20794,"Sum of Consecutive Odd Numbers I","repetition"
1072,1,1,22744,"Interval 2","repetition"
1073,1,1,23944,"Even Square","repetition"
1074,1,1,22638,"Even or Odd","repetition"
1075,1,1,21963,"Remaining 2","repetition"
1076,7,4,1738,"Design Labirints","dfs, backtracking"
1077,4,3,1320,"Infix to Posfix","stack"
1078,1,1,27245,"Multiplication Table","repetition"
1079,1,1,20346,"Weighted Averages","repetition"
1080,1,1,22474,"Highest and Position","repetition"
1081,7,3,1378,"DFSr - Depth Hierarchy","dfs, backtracking"
1082,7,4,1766,"Connected Components","dfs, backtracking"
1083,4,6,256,"LEXSIM - Sintatic and Lexical Avaliator","stack"
1084,6,3,1500,"Erasing and Winning","algoritmos gulosos, ad-hoc"
1085,7,4,440,"Babel","graph theory, shortest paths, sssp, dijkstra."
1086,2,4,631,"The Club Ballroom","ad hoc, greedy, simple math."
1087,2,1,6916,"Queen","ad hoc"
1088,4,3,1779,"Bubbles and Buckets","sort, counting inversions, mergesort"
1089,2,2,2895,"Musical Loop","ad hoc"
1090,2,6,69,"Set","ad hoc"
1091,2,2,3952,"Division of Nlogonia","ad hoc"
1092,2,8,76,"Longest Increasing Sub-sequence","ad hoc"
1093,5,5,810,"Vampires","math, probability theory"
1094,1,1,17435,"Experiments","repetition"
1095,1,1,19933,"Sequence IJ 1","repetition"
1096,1,1,17550,"Sequence IJ 2","repetition"
1097,1,1,16194,"Sequence IJ 3","repetition"
1098,1,1,12663,"Sequence IJ 4","repetition"
1099,1,1,17144,"Sum of Consecutive Odd Numbers II","repetition"
1100,7,4,1102,"Knight Moves","graph theory, flood fill, bellman-ford or floyd-warshall"
1101,1,1,17042,"Sequence of Numbers and Sum","repetition"
1102,8,8,46,"Deadly Atack","computational geometry"
1103,2,1,6712,"Alarm Clock","ad hoc"
1104,2,3,2245,"Exchanging Cards","ad hoc, set intersection"
1105,2,2,2086,"Sub-prime","ad hoc, simulation"
1106,6,8,96,"Dragster","dp, math, probability theory, trees, graph theory"
1107,2,3,1378,"Laser Sculpture","ad hoc"
1108,8,7,66,"Towers for Mobile Telephony","computational geometry"
1109,2,9,34,"Cheating on the Contest","regex, nfa, dfa"
1110,4,2,5076,"Throwing Cards Away","queue"
1111,7,4,335,"Desrugenstein","all-pairs shortest paths"
1112,4,7,332,"Schweisen","fenwick tree 2d (bit 2d)"
1113,1,1,18299,"Ascending and Descending","repetition"
1114,1,1,21586,"Fixed Password","repetition"
1115,1,1,16171,"Quadrant","repetition"
1116,1,1,16399,"Dividing X by Y","repetition"
1117,1,1,16184,"Score Validation","repetition"
1118,1,1,11711,"Several Scores with Validation","repetition"
1119,4,3,837,"The Dole Queue","list, simulation, ad hoc"
1120,3,3,3856,"Contract Revision","string"
1121,2,3,1084,"Sticker Collector Robot","ad hoc"
1122,2,6,253,"Account Book","ad hoc"
1123,7,5,559,"Route Change","graph theory, shortest paths, dijkstra."
1124,8,3,1416,"Elevator","computational geometry"
1125,2,4,770,"Formula 1","ad hoc"
1126,8,9,69,"Star War","computational geometry"
1127,2,6,406,"Musical Plagiarism","ad hoc"
1128,7,5,1351,"Come and Go","graphs, tarjan's strongly connected components, bfs"
1129,2,2,3350,"Optical Reader","ad hoc"
1130,2,9,90,"Tic-tac-toe","grundy numbers, game theory"
1131,1,1,12070,"Grenais","repetition"
1132,1,1,16517,"Multiples of 13","repetition"
1133,1,1,15365,"Rest of a Division","repetition"
1134,1,1,16632,"Type of Fuel","repetition"
1135,7,4,568,"Ants Colony","graphs"
1136,2,3,1415,"Bingo!","ad hoc"
1137,8,6,242,"Cocircular Points","computational geometry"
1138,2,5,562,"Digits Count","ad hoc"
1139,2,9,29,"Electric Needs","ad hoc"
1140,2,3,2515,"Flowers Flourish from France","ad hoc"
